"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0408,-0.0092
"2","PM",0.1,0.0664,-0.0336
"3","PM",0.25,0.1676,-0.0824
"4","PM",0.75,0.739600000000001,-0.0104
"5","PM",0.9,0.9676,0.0676
"6","PM",0.95,0.9824,0.0324
"7","CB",0.05,0.1032,0.0532
"8","CB",0.1,0.1472,0.0472
"9","CB",0.25,0.2576,0.0076
"10","CB",0.75,0.6848,-0.0652
"11","CB",0.9,0.9336,0.0336
"12","CB",0.95,0.9552,0.0052
"13","GR",0.05,0.1024,0.0524
"14","GR",0.1,0.1472,0.0472
"15","GR",0.25,0.252,0.002
"16","GR",0.75,0.6776,-0.0724
"17","GR",0.9,0.936,0.036
"18","GR",0.95,0.964,0.014
"19","ML",0.05,0.2108,0.1608
"20","ML",0.1,0.2524,0.1524
"21","ML",0.25,0.3388,0.0888
"22","ML",0.75,0.6208,-0.1292
"23","ML",0.9,0.8596,-0.0404
"24","ML",0.95,0.9024,-0.0476
