"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0268,-0.0232
"2","PM",0.1,0.0532,-0.0468
"3","PM",0.25,0.1554,-0.0946
"4","PM",0.75,0.7168,-0.0332
"5","PM",0.9,0.972,0.072
"6","PM",0.95,0.9876,0.0376
"7","CB",0.05,0.087,0.037
"8","CB",0.1,0.1388,0.0388
"9","CB",0.25,0.2518,0.0018
"10","CB",0.75,0.6668,-0.0832
"11","CB",0.9,0.9292,0.0292
"12","CB",0.95,0.9596,0.0096
"13","GR",0.05,0.0961999999999999,0.0462
"14","GR",0.1,0.14,0.04
"15","GR",0.25,0.2428,-0.0072
"16","GR",0.75,0.6584,-0.0916
"17","GR",0.9,0.9374,0.0374
"18","GR",0.95,0.9646,0.0146
"19","ML",0.05,0.1888,0.1388
"20","ML",0.1,0.2324,0.1324
"21","ML",0.25,0.3174,0.0674
"22","ML",0.75,0.6206,-0.1294
"23","ML",0.9,0.8752,-0.0248
"24","ML",0.95,0.9134,-0.0366
