"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.045,-0.005
"2","PM",0.1,0.0907999999999999,-0.0092
"3","PM",0.25,0.2278,-0.0222
"4","PM",0.75,0.7306,-0.0194
"5","PM",0.9,0.928,0.028
"6","PM",0.95,0.9628,0.0128
"7","CB",0.05,0.061,0.011
"8","CB",0.1,0.1148,0.0148
"9","CB",0.25,0.2544,0.0044
"10","CB",0.75,0.7224,-0.0276
"11","CB",0.9,0.913,0.013
"12","CB",0.95,0.9504,4e-04
"13","GR",0.05,0.0747999999999999,0.0248
"14","GR",0.1,0.1234,0.0234
"15","GR",0.25,0.2526,0.0026
"16","GR",0.75,0.7088,-0.0412
"17","GR",0.9,0.9198,0.0198
"18","GR",0.95,0.9584,0.0084
"19","ML",0.05,0.0905999999999999,0.0406
"20","ML",0.1,0.1432,0.0432
"21","ML",0.25,0.279,0.029
"22","ML",0.75,0.7122,-0.0378
"23","ML",0.9,0.8956,-0.0044
"24","ML",0.95,0.9374,-0.0126
