"","SEL_rank","SEL_rank_PM","SEL_rank_CB","SEL_rank_GR","SEL_rank_ML"
"1",0.0414201183431953,0.0411834319526627,0.0411834319526627,0.0414201183431953,0.0527810650887574
"2",0.0178698224852071,0.0194082840236686,0.0194082840236686,0.0178698224852071,0.0284023668639053
"3",0.0289940828402367,0.026508875739645,0.026508875739645,0.0289940828402367,0.033491124260355
"4",0.0288757396449704,0.0302958579881657,0.0302958579881657,0.0288757396449704,0.0609467455621302
"5",0.0268639053254438,0.029112426035503,0.029112426035503,0.0268639053254438,0.0323076923076923
"6",0.0407100591715976,0.0431952662721894,0.0431952662721894,0.0407100591715976,0.0526627218934911
"7",0.030887573964497,0.0340828402366864,0.0340828402366864,0.030887573964497,0.0453254437869823
"8",0.0292307692307692,0.0275739644970414,0.0275739644970414,0.0292307692307692,0.0297041420118343
"9",0.037396449704142,0.0379881656804734,0.0379881656804734,0.037396449704142,0.0502958579881657
"10",0.0299408284023669,0.0299408284023669,0.0299408284023669,0.0299408284023669,0.0376331360946746
"11",0.0221301775147929,0.0261538461538462,0.0261538461538462,0.0221301775147929,0.0236686390532544
"12",0.0389349112426036,0.0457988165680473,0.0457988165680473,0.0389349112426036,0.0610650887573965
"13",0.0428402366863905,0.0395266272189349,0.0395266272189349,0.0428402366863905,0.0531360946745562
"14",0.0324260355029586,0.0342011834319527,0.0342011834319527,0.0324260355029586,0.0423668639053254
"15",0.0362130177514793,0.0392899408284024,0.0392899408284024,0.0362130177514793,0.0362130177514793
"16",0.0755029585798817,0.0707692307692308,0.0707692307692308,0.0755029585798817,0.0804733727810651
"17",0.02,0.0191715976331361,0.0191715976331361,0.02,0.0223668639053254
"18",0.0540828402366864,0.0588165680473373,0.0588165680473373,0.0540828402366864,0.0531360946745562
"19",0.0209467455621302,0.0170414201183432,0.0170414201183432,0.0209467455621302,0.0286390532544379
"20",0.0224852071005917,0.0209467455621302,0.0209467455621302,0.0224852071005917,0.0255621301775148
"21",0.0198816568047337,0.0222485207100592,0.0222485207100592,0.0198816568047337,0.0286390532544379
"22",0.0355029585798817,0.0343195266272189,0.0343195266272189,0.0355029585798817,0.036094674556213
"23",0.0311242603550296,0.0345562130177515,0.0345562130177515,0.0311242603550296,0.0331360946745562
"24",0.0469822485207101,0.0489940828402367,0.0489940828402367,0.0469822485207101,0.0469822485207101
"25",0.030887573964497,0.030887573964497,0.030887573964497,0.030887573964497,0.0392899408284024
"26",0.0312426035502959,0.030414201183432,0.030414201183432,0.0312426035502959,0.0302958579881657
"27",0.0207100591715976,0.0189349112426036,0.0189349112426036,0.0207100591715976,0.0229585798816568
"28",0.0228402366863905,0.0220118343195266,0.0220118343195266,0.0228402366863905,0.0211834319526627
"29",0.031715976331361,0.0312426035502959,0.0312426035502959,0.031715976331361,0.0326627218934911
"30",0.0209467455621302,0.0210650887573965,0.0210650887573965,0.0209467455621302,0.026508875739645
"31",0.0235502958579882,0.0259171597633136,0.0259171597633136,0.0235502958579882,0.0418934911242604
"32",0.0350295857988166,0.0379881656804734,0.0379881656804734,0.0350295857988166,0.0363313609467456
"33",0.0288757396449704,0.0263905325443787,0.0263905325443787,0.0288757396449704,0.0368047337278107
"34",0.0417751479289941,0.0414201183431953,0.0414201183431953,0.0417751479289941,0.0501775147928994
"35",0.0242603550295858,0.0224852071005917,0.0224852071005917,0.0242603550295858,0.0281656804733728
"36",0.0259171597633136,0.0263905325443787,0.0263905325443787,0.0259171597633136,0.0237869822485207
"37",0.0328994082840237,0.0310059171597633,0.0310059171597633,0.0328994082840237,0.0407100591715976
"38",0.0241420118343195,0.0256804733727811,0.0256804733727811,0.0241420118343195,0.02
"39",0.0403550295857988,0.0398816568047337,0.0398816568047337,0.0403550295857988,0.0579881656804734
"40",0.0544378698224852,0.0550295857988166,0.0550295857988166,0.0544378698224852,0.0559763313609467
"41",0.0375147928994083,0.0391715976331361,0.0391715976331361,0.0375147928994083,0.0469822485207101
"42",0.0250887573964497,0.0281656804733728,0.0281656804733728,0.0250887573964497,0.032189349112426
"43",0.0315976331360947,0.0300591715976331,0.0300591715976331,0.0315976331360947,0.0332544378698225
"44",0.0263905325443787,0.0255621301775148,0.0255621301775148,0.0263905325443787,0.0396449704142012
"45",0.0201183431952663,0.0203550295857988,0.0203550295857988,0.0201183431952663,0.0244970414201183
"46",0.0455621301775148,0.0447337278106509,0.0447337278106509,0.0455621301775148,0.0511242603550296
"47",0.0194082840236686,0.0184615384615385,0.0184615384615385,0.0194082840236686,0.0248520710059172
"48",0.0261538461538462,0.0288757396449704,0.0288757396449704,0.0261538461538462,0.0414201183431953
"49",0.0796449704142012,0.0798816568047337,0.0798816568047337,0.0796449704142012,0.0822485207100592
"50",0.025207100591716,0.0246153846153846,0.0246153846153846,0.025207100591716,0.0306508875739645
"51",0.0266272189349112,0.018698224852071,0.018698224852071,0.0266272189349112,0.0216568047337278
"52",0.0333727810650888,0.0328994082840237,0.0328994082840237,0.0333727810650888,0.0607100591715976
"53",0.0421301775147929,0.0410650887573965,0.0410650887573965,0.0421301775147929,0.0536094674556213
"54",0.0192899408284024,0.0202366863905325,0.0202366863905325,0.0192899408284024,0.0312426035502959
"55",0.0294674556213018,0.0306508875739645,0.0306508875739645,0.0294674556213018,0.0411834319526627
"56",0.0257988165680473,0.0228402366863905,0.0228402366863905,0.0257988165680473,0.0337278106508876
"57",0.0359763313609467,0.0350295857988166,0.0350295857988166,0.0359763313609467,0.0359763313609467
"58",0.0284023668639053,0.0267455621301775,0.0267455621301775,0.0284023668639053,0.0249704142011834
"59",0.0246153846153846,0.0246153846153846,0.0246153846153846,0.0246153846153846,0.0326627218934911
"60",0.0368047337278107,0.0359763313609467,0.0359763313609467,0.0368047337278107,0.0552662721893491
"61",0.032189349112426,0.0344378698224852,0.0344378698224852,0.032189349112426,0.0263905325443787
"62",0.0430769230769231,0.0417751479289941,0.0417751479289941,0.0430769230769231,0.0530177514792899
"63",0.0333727810650888,0.0330177514792899,0.0330177514792899,0.0333727810650888,0.0352662721893491
"64",0.0299408284023669,0.0332544378698225,0.0332544378698225,0.0299408284023669,0.0359763313609467
"65",0.0234319526627219,0.0235502958579882,0.0235502958579882,0.0234319526627219,0.0241420118343195
"66",0.0279289940828402,0.0292307692307692,0.0292307692307692,0.0279289940828402,0.0408284023668639
"67",0.0355029585798817,0.0390532544378698,0.0390532544378698,0.0355029585798817,0.069112426035503
"68",0.0255621301775148,0.0253254437869822,0.0253254437869822,0.0255621301775148,0.0221301775147929
"69",0.0441420118343195,0.0442603550295858,0.0442603550295858,0.0441420118343195,0.0492307692307692
"70",0.0280473372781065,0.027810650887574,0.027810650887574,0.0280473372781065,0.0279289940828402
