"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,0
"[-5.76,-5.52)",0,0,0,0
"[-5.52,-5.28)",0,0,0,2e-04
"[-5.28,-5.04)",0,0,0,0
"[-5.04,-4.8)",0,0,0,0
"[-4.8,-4.56)",0,0,0,2e-04
"[-4.56,-4.32)",0,0,0,2e-04
"[-4.32,-4.08)",0,0,0,2e-04
"[-4.08,-3.84)",0,0,0,0
"[-3.84,-3.6)",0,0,0,2e-04
"[-3.6,-3.36)",0,2e-04,0,0.001
"[-3.36,-3.12)",0,2e-04,0,8e-04
"[-3.12,-2.88)",4e-04,4e-04,4e-04,0.001
"[-2.88,-2.64)",0,0.001,0.001,0.0042
"[-2.64,-2.4)",8e-04,4e-04,0.0016,0.0062
"[-2.4,-2.16)",6e-04,0.0032,0.005,0.01
"[-2.16,-1.92)",0.0028,0.01,0.0106,0.0152
"[-1.92,-1.68)",0.0078,0.0102,0.0142,0.0194
"[-1.68,-1.44)",0.0102,0.022,0.0224,0.034
"[-1.44,-1.2)",0.0272,0.0412,0.037,0.0456
"[-1.2,-0.96)",0.0522,0.0594,0.0564,0.0704
"[-0.96,-0.72)",0.0752,0.079,0.0744,0.0782
"[-0.72,-0.48)",0.1066,0.0964,0.0918,0.0852
"[-0.48,-0.24)",0.1268,0.106,0.1032,0.082
"[-0.24,0)",0.1316,0.114,0.109,0.081
"[0,0.24)",0.1142,0.0936,0.1004,0.0732
"[0.24,0.48)",0.0954,0.0858,0.0874,0.069
"[0.48,0.72)",0.073,0.069,0.073,0.061
"[0.72,0.96)",0.052,0.0516,0.057,0.0594
"[0.96,1.2)",0.042,0.0442,0.044,0.0434
"[1.2,1.44)",0.0246,0.0326,0.033,0.0326
"[1.44,1.68)",0.0186,0.0216,0.0236,0.0292
"[1.68,1.92)",0.0146,0.0146,0.0172,0.0244
"[1.92,2.16)",0.0068,0.0144,0.012,0.023
"[2.16,2.4)",0.0062,0.0102,0.0084,0.0142
"[2.4,2.64)",0.003,0.0054,0.0074,0.0118
"[2.64,2.88)",0.0036,0.0038,0.003,0.007
"[2.88,3.12)",8e-04,0.0026,0.0026,0.0052
"[3.12,3.36)",0.0016,0.0028,0.002,0.002
"[3.36,3.6)",6e-04,0.0014,0.001,0.0036
"[3.6,3.84)",4e-04,0.0012,6e-04,0.0018
"[3.84,4.08)",0,6e-04,0,0.0014
"[4.08,4.32)",2e-04,2e-04,2e-04,8e-04
"[4.32,4.56)",0,4e-04,0,6e-04
"[4.56,4.8)",0,2e-04,0,4e-04
"[4.8,5.04)",0,0,0,0
"[5.04,5.28)",2e-04,0,2e-04,2e-04
"[5.28,5.52)",0,0,0,2e-04
"[5.52,5.76)",0,2e-04,0,2e-04
"[5.76,6)",0,0,0,0
