"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,2e-04
"[-5.76,-5.52)",0,0,0,0
"[-5.52,-5.28)",0,0,0,0
"[-5.28,-5.04)",0,2e-04,0,0
"[-5.04,-4.8)",0,0,0,2e-04
"[-4.8,-4.56)",0,2e-04,0,2e-04
"[-4.56,-4.32)",2e-04,0,2e-04,2e-04
"[-4.32,-4.08)",2e-04,0,2e-04,0
"[-4.08,-3.84)",0,4e-04,0,2e-04
"[-3.84,-3.6)",0,0,0,2e-04
"[-3.6,-3.36)",4e-04,4e-04,4e-04,0.0022
"[-3.36,-3.12)",0,0.001,6e-04,0.001
"[-3.12,-2.88)",6e-04,0.002,8e-04,0.0036
"[-2.88,-2.64)",0.0024,0.0014,0.0022,0.0022
"[-2.64,-2.4)",0.0016,0.0036,0.0016,0.0054
"[-2.4,-2.16)",0.002,0.0044,0.0076,0.011
"[-2.16,-1.92)",0.0044,0.0092,0.0092,0.0124
"[-1.92,-1.68)",0.0104,0.0134,0.0154,0.019
"[-1.68,-1.44)",0.0156,0.0222,0.0226,0.0296
"[-1.44,-1.2)",0.0276,0.0326,0.0344,0.0354
"[-1.2,-0.96)",0.0402,0.0462,0.05,0.054
"[-0.96,-0.72)",0.0644,0.0714,0.0662,0.073
"[-0.72,-0.48)",0.0906,0.0848,0.084,0.074
"[-0.48,-0.24)",0.1124,0.1004,0.0956,0.0876
"[-0.24,0)",0.1238,0.1038,0.1066,0.0876
"[0,0.24)",0.1242,0.102,0.1062,0.0856
"[0.24,0.48)",0.1184,0.1082,0.097,0.0956
"[0.48,0.72)",0.0862,0.0802,0.0814,0.0742
"[0.72,0.96)",0.0606,0.068,0.0668,0.0632
"[0.96,1.2)",0.0428,0.0448,0.0486,0.0508
"[1.2,1.44)",0.0266,0.033,0.0338,0.0378
"[1.44,1.68)",0.0146,0.0232,0.0248,0.0282
"[1.68,1.92)",0.0108,0.0132,0.015,0.0202
"[1.92,2.16)",0.006,0.0094,0.0104,0.0134
"[2.16,2.4)",0.0054,0.0058,0.007,0.0082
"[2.4,2.64)",0.002,0.0052,0.005,0.0066
"[2.64,2.88)",0.0016,0.0028,0.0022,0.0062
"[2.88,3.12)",0.0012,0.002,0.0012,0.0024
"[3.12,3.36)",4e-04,0.0014,4e-04,0.0022
"[3.36,3.6)",2e-04,6e-04,2e-04,0.0014
"[3.6,3.84)",4e-04,4e-04,8e-04,0.0016
"[3.84,4.08)",0,4e-04,0,8e-04
"[4.08,4.32)",8e-04,0,4e-04,4e-04
"[4.32,4.56)",0,6e-04,0,2e-04
"[4.56,4.8)",0,2e-04,2e-04,2e-04
"[4.8,5.04)",4e-04,0,4e-04,6e-04
"[5.04,5.28)",0,0,0,0
"[5.28,5.52)",0,4e-04,0,0
"[5.52,5.76)",0,0,0,0
"[5.76,6)",0,0,0,2e-04
