"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,0
"[-5.76,-5.52)",0,0,0,0
"[-5.52,-5.28)",0,0,0,4e-04
"[-5.28,-5.04)",0,4e-04,0,0
"[-5.04,-4.8)",0,0,0,4e-04
"[-4.8,-4.56)",0,2e-04,0,0
"[-4.56,-4.32)",0,2e-04,0,4e-04
"[-4.32,-4.08)",2e-04,2e-04,2e-04,8e-04
"[-4.08,-3.84)",0,0,0,0.0014
"[-3.84,-3.6)",6e-04,6e-04,6e-04,0.001
"[-3.6,-3.36)",0,0.001,0,0.0034
"[-3.36,-3.12)",2e-04,6e-04,0.0012,0.0054
"[-3.12,-2.88)",2e-04,0.0018,0.0018,0.007
"[-2.88,-2.64)",4e-04,0.0024,0.0046,0.0112
"[-2.64,-2.4)",0.001,0.004,0.0036,0.011
"[-2.4,-2.16)",0.0024,0.0074,0.0078,0.019
"[-2.16,-1.92)",0.0036,0.0098,0.0096,0.0252
"[-1.92,-1.68)",0.0048,0.0126,0.0142,0.026
"[-1.68,-1.44)",0.0126,0.0228,0.0224,0.037
"[-1.44,-1.2)",0.0168,0.028,0.0282,0.049
"[-1.2,-0.96)",0.0286,0.0508,0.0422,0.0522
"[-0.96,-0.72)",0.0526,0.0618,0.0586,0.0552
"[-0.72,-0.48)",0.0848,0.0784,0.077,0.0618
"[-0.48,-0.24)",0.1236,0.1018,0.1034,0.0596
"[-0.24,0)",0.1658,0.1146,0.1226,0.0698
"[0,0.24)",0.1606,0.1106,0.1218,0.0668
"[0.24,0.48)",0.1282,0.1028,0.1004,0.0692
"[0.48,0.72)",0.084,0.0788,0.0796,0.0606
"[0.72,0.96)",0.0502,0.0664,0.0582,0.0562
"[0.96,1.2)",0.033,0.043,0.0442,0.0518
"[1.2,1.44)",0.019,0.0342,0.0302,0.044
"[1.44,1.68)",0.0112,0.0194,0.0212,0.0372
"[1.68,1.92)",0.0068,0.0144,0.0142,0.029
"[1.92,2.16)",0.0034,0.0098,0.012,0.0262
"[2.16,2.4)",8e-04,0.0074,0.007,0.0148
"[2.4,2.64)",0.0018,0.0044,0.0054,0.0124
"[2.64,2.88)",0.001,0.0034,0.0036,0.0118
"[2.88,3.12)",8e-04,0.0016,0.0014,0.0074
"[3.12,3.36)",4e-04,0.0016,0.0012,0.0054
"[3.36,3.6)",2e-04,6e-04,6e-04,0.0036
"[3.6,3.84)",2e-04,6e-04,4e-04,0.0022
"[3.84,4.08)",0,6e-04,2e-04,0.0018
"[4.08,4.32)",2e-04,4e-04,4e-04,6e-04
"[4.32,4.56)",0,4e-04,0,4e-04
"[4.56,4.8)",0,0,0,8e-04
"[4.8,5.04)",0,0,0,4e-04
"[5.04,5.28)",0,2e-04,0,0
"[5.28,5.52)",0,0,0,2e-04
"[5.52,5.76)",0,0,0,0
"[5.76,6)",0,0,0,0
