"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0436,-0.0064
"2","PM",0.1,0.0868,-0.0132
"3","PM",0.25,0.2244,-0.0256
"4","PM",0.75,0.7172,-0.0328
"5","PM",0.9,0.9112,0.0112
"6","PM",0.95,0.9676,0.0176
"7","CB",0.05,0.146,0.096
"8","CB",0.1,0.1972,0.0972
"9","CB",0.25,0.318,0.068
"10","CB",0.75,0.6544,-0.0956
"11","CB",0.9,0.778800000000001,-0.1212
"12","CB",0.95,0.8404,-0.1096
"13","GR",0.05,0.138,0.088
"14","GR",0.1,0.1888,0.0888
"15","GR",0.25,0.31,0.06
"16","GR",0.75,0.6616,-0.0884
"17","GR",0.9,0.795600000000001,-0.1044
"18","GR",0.95,0.854,-0.096
"19","ML",0.05,0.2964,0.2464
"20","ML",0.1,0.3316,0.2316
"21","ML",0.25,0.4044,0.1544
"22","ML",0.75,0.5756,-0.1744
"23","ML",0.9,0.6456,-0.2544
"24","ML",0.95,0.6892,-0.2608
