"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,4e-04,0,0.0044
"[-5.76,-5.52)",0,4e-04,0,0.0052
"[-5.52,-5.28)",0,4e-04,0.0012,0.004
"[-5.28,-5.04)",0,4e-04,0,0.004
"[-5.04,-4.8)",0,0.0012,8e-04,0.0056
"[-4.8,-4.56)",4e-04,8e-04,0.0016,0.0068
"[-4.56,-4.32)",0,0.0024,0.0012,0.0092
"[-4.32,-4.08)",0,0.0016,0.0024,0.0092
"[-4.08,-3.84)",0,0.0052,0.004,0.0136
"[-3.84,-3.6)",0,0.0052,0.004,0.012
"[-3.6,-3.36)",0,0.0048,0.0048,0.0148
"[-3.36,-3.12)",4e-04,0.006,0.0072,0.0124
"[-3.12,-2.88)",8e-04,0.0108,0.0084,0.0176
"[-2.88,-2.64)",0.0016,0.014,0.0124,0.0176
"[-2.64,-2.4)",0.0028,0.0152,0.0144,0.0232
"[-2.4,-2.16)",0.0056,0.022,0.0184,0.0252
"[-2.16,-1.92)",0.0088,0.0224,0.0232,0.0204
"[-1.92,-1.68)",0.0172,0.0268,0.0264,0.0228
"[-1.68,-1.44)",0.0292,0.03,0.0336,0.0264
"[-1.44,-1.2)",0.0372,0.0424,0.0388,0.0228
"[-1.2,-0.96)",0.0396,0.044,0.046,0.028
"[-0.96,-0.72)",0.0676,0.05,0.0508,0.0316
"[-0.72,-0.48)",0.0828,0.0548,0.0568,0.032
"[-0.48,-0.24)",0.0956,0.0656,0.0628,0.0272
"[-0.24,0)",0.0956,0.0552,0.064,0.0348
"[0,0.24)",0.0824,0.0612,0.0688,0.0308
"[0.24,0.48)",0.08,0.0676,0.0628,0.0288
"[0.48,0.72)",0.0896,0.0508,0.06,0.026
"[0.72,0.96)",0.08,0.0532,0.0564,0.0328
"[0.96,1.2)",0.0728,0.0492,0.048,0.024
"[1.2,1.44)",0.0528,0.0388,0.04,0.0288
"[1.44,1.68)",0.0284,0.0416,0.0396,0.0292
"[1.68,1.92)",0.0128,0.0324,0.0292,0.0252
"[1.92,2.16)",0.0076,0.0292,0.0232,0.0264
"[2.16,2.4)",0.004,0.0268,0.02,0.0188
"[2.4,2.64)",0.0028,0.0196,0.016,0.0212
"[2.64,2.88)",4e-04,0.0116,0.0144,0.0192
"[2.88,3.12)",4e-04,0.0084,0.0072,0.0152
"[3.12,3.36)",0,0.006,0.0076,0.0172
"[3.36,3.6)",0,0.0048,0.0076,0.0152
"[3.6,3.84)",0,0.0036,0.0032,0.0112
"[3.84,4.08)",4e-04,0.0048,0.0048,0.0112
"[4.08,4.32)",4e-04,0.0024,0.002,0.0084
"[4.32,4.56)",0,0.0024,0.0032,0.0136
"[4.56,4.8)",0,0,4e-04,0.0052
"[4.8,5.04)",0,8e-04,8e-04,0.008
"[5.04,5.28)",0,4e-04,4e-04,0.0076
"[5.28,5.52)",0,4e-04,4e-04,0.0076
"[5.52,5.76)",0,8e-04,4e-04,0.0052
"[5.76,6)",0,0,0,0.0052
