"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0412,-0.0088
"2","PM",0.1,0.0852,-0.0148
"3","PM",0.25,0.2088,-0.0412
"4","PM",0.75,0.7472,-0.0028
"5","PM",0.9,0.9916,0.0916
"6","PM",0.95,0.9948,0.0448
"7","CB",0.05,0.1488,0.0988
"8","CB",0.1,0.1924,0.0924
"9","CB",0.25,0.2844,0.0344
"10","CB",0.75,0.67,-0.08
"11","CB",0.9,0.932,0.032
"12","CB",0.95,0.9568,0.0068
"13","GR",0.05,0.1372,0.0872
"14","GR",0.1,0.1756,0.0756
"15","GR",0.25,0.2712,0.0212
"16","GR",0.75,0.674,-0.076
"17","GR",0.9,0.9404,0.0404
"18","GR",0.95,0.9584,0.0084
"19","ML",0.05,0.3592,0.3092
"20","ML",0.1,0.3844,0.2844
"21","ML",0.25,0.424,0.174
"22","ML",0.75,0.5668,-0.1832
"23","ML",0.9,0.7204,-0.1796
"24","ML",0.95,0.746,-0.204
