"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0412,-0.0088
"2","PM",0.1,0.0884,-0.0116
"3","PM",0.25,0.2148,-0.0352
"4","PM",0.75,0.7604,0.0104
"5","PM",0.9,0.9036,0.0036
"6","PM",0.95,0.9516,0.0016
"7","CB",0.05,0.0496,-4e-04
"8","CB",0.1,0.1008,8e-04
"9","CB",0.25,0.228,-0.022
"10","CB",0.75,0.7456,-0.0044
"11","CB",0.9,0.8904,-0.0096
"12","CB",0.95,0.94,-0.01
"13","GR",0.05,0.0504,4e-04
"14","GR",0.1,0.0968,-0.0032
"15","GR",0.25,0.2344,-0.0156
"16","GR",0.75,0.7468,-0.0032
"17","GR",0.9,0.8924,-0.0076
"18","GR",0.95,0.9432,-0.0068
"19","ML",0.05,0.062,0.012
"20","ML",0.1,0.1164,0.0164
"21","ML",0.25,0.2516,0.0016
"22","ML",0.75,0.7288,-0.0212
"23","ML",0.9,0.8756,-0.0244
"24","ML",0.95,0.9312,-0.0188
