"","ISEL_PM","ISEL_CB","ISEL_GR","ISEL_ML"
"1",0.01138903936014,0.00810712426563547,0.0169240801808924,0.0382680753051141
"2",0.0319920513591669,0.0241039706794491,0.0163358687635291,0.0705313498418014
"3",0.012576347455613,0.00850189945929155,0.0154482442622144,0.0466175234098345
"4",0.0136574782361177,0.0266520247302498,0.0273204321883406,0.0699020658224994
"5",0.0352870054385542,0.0385243125770252,0.033534341226278,0.0838528003378327
"6",0.0538717785867248,0.0303204120412345,0.018602908416701,0.0407387751061743
"7",0.0272613055669548,0.0190773275566404,0.0127459431587777,0.0356346691094522
"8",0.025055103062291,0.0399027321265415,0.0255858926794974,0.0949432237275593
"9",0.0648657086117949,0.0338700737381757,0.0331067422222893,0.0548303054713963
"10",0.0238386123209082,0.0127475031135877,0.01095664119475,0.0456441494670359
"11",0.015266647848313,0.00970660364171694,0.00996564386465943,0.0505801858955611
"12",0.0190180176215347,0.0161339627804958,0.0233402791585127,0.0356550097232594
"13",0.098846465233366,0.0441175584557589,0.0489572020497491,0.0287865332225622
"14",0.0493733476503697,0.0433858907897145,0.0327258496995817,0.0691753681176377
"15",0.119359463964839,0.07602047247311,0.0758773966675559,0.0886567216432209
"16",0.0481349277018078,0.0174980220678488,0.0267335422674539,0.0333140062168963
"17",0.047705105660954,0.022594096695872,0.0226716815402288,0.0216815030380052
"18",0.123453381176418,0.049096296581282,0.0594620073744059,0.0502612994361729
"19",0.0984951121580981,0.0719982813597042,0.0594183189939189,0.105225779360752
"20",0.0504400330423118,0.0319200879188001,0.0209747349391595,0.06792986936556
"21",0.028260415354351,0.0221545845993944,0.0217404452849049,0.0699737419592196
"22",0.022612131767898,0.0104393834570219,0.00782142697672238,0.0328263740743619
"23",0.0557814760433495,0.0405946985395662,0.0223208267226679,0.0464463804016833
"24",0.09516440860279,0.04712112493398,0.0429848102097435,0.0412543066167631
"25",0.0290459765811723,0.00668856815004593,0.0173049806170042,0.0425951369730869
"26",0.0572281987683888,0.0181720724397729,0.0198581328028601,0.0148341853013558
"27",0.0203146022316222,0.0166307544127749,0.0156876135914949,0.0508282555022311
"28",0.0499922473230346,0.0255203507575328,0.0428065695586674,0.0476910554080441
"29",0.0172590685840364,0.00564482967250966,0.013379928438042,0.0462618861473996
"30",0.0642220815661334,0.0233963058073765,0.0353255150739429,0.0272177335434418
"31",0.0570759183858698,0.0217630957351223,0.0313974204754806,0.0370457478586088
"32",0.0823025888096487,0.0233227409772387,0.0290194246374502,0.0221489590294648
"33",0.0644178602539103,0.0232602742243276,0.038926901919872,0.0341289873787226
"34",0.0579932766985179,0.0298594784083962,0.0259489403139762,0.0348447971764206
"35",0.0368123165114347,0.019865733699919,0.0221188964416053,0.0334230221155001
"36",0.0529709293450366,0.0322782707335472,0.027366287625144,0.0522995974669301
"37",0.0184121803329103,0.00995609048118201,0.0143979869577521,0.0396302290332207
"38",0.013261681598852,0.0151670851060256,0.0144847504460943,0.0610337270661308
"39",0.0256094555984015,0.0246893502165793,0.0224428069813492,0.0718980630474455
"40",0.0225190944106692,0.0133173252680855,0.0101634307386901,0.0532342717961254
"41",0.0487662754021588,0.0319469653238828,0.0228980971864437,0.0573042607825332
"42",0.0435280236084747,0.0133684058359738,0.0134752640515265,0.031221150747717
"43",0.0401361244432417,0.0297605521286482,0.0244850238771571,0.0478830476205098
"44",0.0151792288039999,0.014922063789638,0.0245930183233075,0.0423739049724343
"45",0.0474070726409012,0.0435965238692014,0.0490966834319251,0.0806715709437671
"46",0.0344483612947744,0.0158325014582845,0.0220389700026709,0.0432746630290255
"47",0.0687515582757007,0.0378921605614327,0.0406375424883172,0.0838221302876961
"48",0.0104442979594625,0.0103537049971031,0.0181526278155289,0.0522660656927495
"49",0.031437605387629,0.0264012257155167,0.0228553099944191,0.0543774519219082
"50",0.139261949810949,0.0650897080886447,0.0748249228996457,0.0541506638050962
"51",0.0433218921814352,0.0266794414557544,0.0307400619868458,0.0439608924384643
"52",0.0609506567060849,0.0318985286282484,0.0398606519116282,0.0366585859696814
"53",0.0164739554660816,0.0125042476614731,0.0145597561798618,0.0430871140004089
"54",0.0182292609933026,0.0334432103990569,0.0402104260800699,0.0771264677014371
"55",0.0490832064669845,0.0182668357840088,0.0240180724565821,0.0430983273517415
"56",0.0225681607524559,0.0233527419313683,0.0306531867490245,0.068034053996645
"57",0.0582648099569831,0.0228784596692244,0.0228213613026336,0.037694341149166
"58",0.216975846033664,0.104359607857953,0.125385168043743,0.0372126705517617
"59",0.155544332127663,0.0700904385685728,0.0752628500377045,0.0246482005623247
"60",0.0346280781446223,0.0250088120951751,0.019497538473141,0.0615518337258094
"61",0.0219386811531294,0.0117736432320384,0.0133356163973367,0.0419436370243832
"62",0.0290483676288829,0.0168911383993346,0.0166293899067535,0.0405195315085276
"63",0.0739975675455822,0.0436216673216212,0.0358399681600819,0.0521071458006918
"64",0.0172221906454475,0.0215610882055616,0.0150530535988758,0.0713071897374293
"65",0.057917053132337,0.0470639511885791,0.0467297383084622,0.0553506927794272
"66",0.0505378515609498,0.0212964326748889,0.023460560016538,0.0369508862252001
"67",0.039709200312244,0.0192418834703634,0.020174589771941,0.0417868571168039
"68",0.108696570861079,0.0576330524300801,0.0623245892804987,0.0401044150223188
"69",0.0834611890666998,0.0273864534449916,0.0334171758764099,0.0118145847852714
"70",0.0145514113829158,0.0189644001082739,0.0156754538225668,0.066258186577058
"71",0.0332757714278903,0.011803185314317,0.0134706481267975,0.0453216726705722
"72",0.0751618583607204,0.0322565154844103,0.0311939333459608,0.0403180481039063
