"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0296,-0.0204
"2","PM",0.1,0.053,-0.047
"3","PM",0.25,0.1336,-0.1164
"4","PM",0.75,0.7604,0.0104
"5","PM",0.9,0.9798,0.0798
"6","PM",0.95,0.9904,0.0404
"7","CB",0.05,0.0816,0.0316
"8","CB",0.1,0.1218,0.0218
"9","CB",0.25,0.2184,-0.0316
"10","CB",0.75,0.6934,-0.0566
"11","CB",0.9,0.9446,0.0446
"12","CB",0.95,0.9678,0.0178
"13","GR",0.05,0.0905999999999999,0.0406
"14","GR",0.1,0.125,0.025
"15","GR",0.25,0.2142,-0.0358
"16","GR",0.75,0.6878,-0.0622
"17","GR",0.9,0.9538,0.0538
"18","GR",0.95,0.9722,0.0222
"19","ML",0.05,0.1864,0.1364
"20","ML",0.1,0.2362,0.1362
"21","ML",0.25,0.3262,0.0762
"22","ML",0.75,0.6278,-0.1222
"23","ML",0.9,0.8826,-0.0174
"24","ML",0.95,0.9166,-0.0334
