"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,0.006
"[-5.76,-5.52)",0,0,0,0.0052
"[-5.52,-5.28)",0,0,0,0.0052
"[-5.28,-5.04)",0,6e-04,2e-04,0.0074
"[-5.04,-4.8)",0,0,4e-04,0.0056
"[-4.8,-4.56)",0,2e-04,6e-04,0.006
"[-4.56,-4.32)",0,6e-04,2e-04,0.0082
"[-4.32,-4.08)",0,6e-04,4e-04,0.0106
"[-4.08,-3.84)",0,8e-04,6e-04,0.0092
"[-3.84,-3.6)",0,2e-04,0.001,0.013
"[-3.6,-3.36)",0,0.0016,0.0014,0.011
"[-3.36,-3.12)",0,0.002,0.0026,0.013
"[-3.12,-2.88)",4e-04,0.0036,0.0032,0.0112
"[-2.88,-2.64)",2e-04,0.0032,0.0022,0.0194
"[-2.64,-2.4)",2e-04,0.005,0.0046,0.0196
"[-2.4,-2.16)",0.0012,0.0058,0.0074,0.0142
"[-2.16,-1.92)",4e-04,0.0076,0.008,0.0218
"[-1.92,-1.68)",0.0024,0.0122,0.0118,0.0268
"[-1.68,-1.44)",0.004,0.0208,0.0152,0.0266
"[-1.44,-1.2)",0.0064,0.0266,0.0244,0.0306
"[-1.2,-0.96)",0.0168,0.038,0.0358,0.03
"[-0.96,-0.72)",0.0416,0.0608,0.0582,0.0348
"[-0.72,-0.48)",0.0794,0.0852,0.088,0.0298
"[-0.48,-0.24)",0.1604,0.1134,0.1182,0.0302
"[-0.24,0)",0.2264,0.1412,0.1368,0.0372
"[0,0.24)",0.1968,0.1252,0.132,0.0354
"[0.24,0.48)",0.1386,0.108,0.108,0.0342
"[0.48,0.72)",0.072,0.068,0.0794,0.0326
"[0.72,0.96)",0.0228,0.0564,0.0516,0.028
"[0.96,1.2)",0.0196,0.0342,0.0318,0.025
"[1.2,1.44)",0.0044,0.0216,0.0204,0.0248
"[1.44,1.68)",0.0016,0.0162,0.0158,0.022
"[1.68,1.92)",2e-04,0.0088,0.0112,0.0202
"[1.92,2.16)",0.0014,0.0088,0.0056,0.0252
"[2.16,2.4)",8e-04,0.0054,0.0056,0.017
"[2.4,2.64)",4e-04,0.0038,0.0046,0.0156
"[2.64,2.88)",0.001,0.0026,0.003,0.0138
"[2.88,3.12)",0,0.002,0.003,0.0154
"[3.12,3.36)",2e-04,0.0022,0.0014,0.0122
"[3.36,3.6)",0,8e-04,0.0012,0.0138
"[3.6,3.84)",2e-04,0.001,0.0012,0.0132
"[3.84,4.08)",0,4e-04,0.001,0.0096
"[4.08,4.32)",0,0.001,8e-04,0.0088
"[4.32,4.56)",2e-04,6e-04,2e-04,0.0092
"[4.56,4.8)",0,4e-04,0,0.0092
"[4.8,5.04)",0,4e-04,2e-04,0.0084
"[5.04,5.28)",0,8e-04,0,0.0054
"[5.28,5.52)",0,6e-04,2e-04,0.0062
"[5.52,5.76)",0,0,4e-04,0.005
"[5.76,6)",0,2e-04,0,0.0062
