"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0488,-0.0012
"2","PM",0.1,0.0872,-0.0128
"3","PM",0.25,0.2284,-0.0216
"4","PM",0.75,0.7772,0.0272
"5","PM",0.9,0.9104,0.0104
"6","PM",0.95,0.9568,0.0068
"7","CB",0.05,0.0536,0.0036
"8","CB",0.1,0.0972,-0.0028
"9","CB",0.25,0.236,-0.014
"10","CB",0.75,0.768,0.018
"11","CB",0.9,0.9,0
"12","CB",0.95,0.95,0
"13","GR",0.05,0.0508,8e-04
"14","GR",0.1,0.0992,-8e-04
"15","GR",0.25,0.2412,-0.0088
"16","GR",0.75,0.7604,0.0104
"17","GR",0.9,0.9012,0.0012
"18","GR",0.95,0.9504,4e-04
"19","ML",0.05,0.06,0.01
"20","ML",0.1,0.108,0.008
"21","ML",0.25,0.2552,0.0052
"22","ML",0.75,0.7532,0.0032
"23","ML",0.9,0.888,-0.012
"24","ML",0.95,0.9408,-0.0092
