"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0244,-0.0256
"2","PM",0.1,0.0516,-0.0484
"3","PM",0.25,0.1668,-0.0832
"4","PM",0.75,0.872,0.122
"5","PM",0.9,0.9644,0.0644
"6","PM",0.95,0.9828,0.0328
"7","CB",0.05,0.0492,-8e-04
"8","CB",0.1,0.098,-0.002
"9","CB",0.25,0.2568,0.0068
"10","CB",0.75,0.7928,0.0428
"11","CB",0.9,0.9216,0.0216
"12","CB",0.95,0.9616,0.0116
"13","GR",0.05,0.052,0.002
"14","GR",0.1,0.098,-0.002
"15","GR",0.25,0.2408,-0.0092
"16","GR",0.75,0.804,0.054
"17","GR",0.9,0.9204,0.0204
"18","GR",0.95,0.957199999999999,0.0072
"19","ML",0.05,0.1376,0.0876
"20","ML",0.1,0.2128,0.1128
"21","ML",0.25,0.3524,0.1024
"22","ML",0.75,0.6764,-0.0736
"23","ML",0.9,0.8144,-0.0856
"24","ML",0.95,0.8876,-0.0624
