"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0482,-0.0018
"2","PM",0.1,0.0904,-0.0096
"3","PM",0.25,0.2122,-0.0378
"4","PM",0.75,0.7322,-0.0178
"5","PM",0.9,0.9576,0.0576
"6","PM",0.95,0.9744,0.0244
"7","CB",0.05,0.0801999999999999,0.0302
"8","CB",0.1,0.1288,0.0288
"9","CB",0.25,0.2502,2e-04
"10","CB",0.75,0.7098,-0.0402
"11","CB",0.9,0.9414,0.0414
"12","CB",0.95,0.9614,0.0114
"13","GR",0.05,0.0906,0.0406
"14","GR",0.1,0.1346,0.0346
"15","GR",0.25,0.2438,-0.0062
"16","GR",0.75,0.6968,-0.0532
"17","GR",0.9,0.944999999999999,0.045
"18","GR",0.95,0.965799999999999,0.0158
"19","ML",0.05,0.1318,0.0818
"20","ML",0.1,0.1902,0.0902
"21","ML",0.25,0.3018,0.0518
"22","ML",0.75,0.671,-0.079
"23","ML",0.9,0.9142,0.0142
"24","ML",0.95,0.9478,-0.0022
