"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0011,-0.0489
"2","PM",0.1,0.0019,-0.0981
"3","PM",0.25,0.0153,-0.2347
"4","PM",0.75,0.7855,0.0355
"5","PM",0.9,0.9982,0.0982
"6","PM",0.95,0.9996,0.0496
"7","CB",0.05,0.0606,0.0106
"8","CB",0.1,0.09,-0.01
"9","CB",0.25,0.1782,-0.0718
"10","CB",0.75,0.6629,-0.0871
"11","CB",0.9,0.9667,0.0667
"12","CB",0.95,0.981,0.031
"13","GR",0.05,0.0493,-7e-04
"14","GR",0.1,0.0691999999999999,-0.0308
"15","GR",0.25,0.1376,-0.1124
"16","GR",0.75,0.6949,-0.0551
"17","GR",0.9,0.966,0.066
"18","GR",0.95,0.9779,0.0279
"19","ML",0.05,0.3444,0.2944
"20","ML",0.1,0.3671,0.2671
"21","ML",0.25,0.409,0.159
"22","ML",0.75,0.5394,-0.2106
"23","ML",0.9,0.6961,-0.2039
"24","ML",0.95,0.7318,-0.2182
