"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0272,-0.0228
"2","PM",0.1,0.048,-0.052
"3","PM",0.25,0.1328,-0.1172
"4","PM",0.75,0.7916,0.0416
"5","PM",0.9,0.9784,0.0784
"6","PM",0.95,0.989,0.039
"7","CB",0.05,0.0758,0.0258
"8","CB",0.1,0.1144,0.0144
"9","CB",0.25,0.227,-0.023
"10","CB",0.75,0.7334,-0.0166
"11","CB",0.9,0.9478,0.0478
"12","CB",0.95,0.9648,0.0148
"13","GR",0.05,0.0842,0.0342
"14","GR",0.1,0.1218,0.0218
"15","GR",0.25,0.2228,-0.0272
"16","GR",0.75,0.7208,-0.0292
"17","GR",0.9,0.953,0.053
"18","GR",0.95,0.973,0.023
"19","ML",0.05,0.1932,0.1432
"20","ML",0.1,0.24,0.14
"21","ML",0.25,0.3288,0.0788
"22","ML",0.75,0.6482,-0.1018
"23","ML",0.9,0.8682,-0.0318
"24","ML",0.95,0.9066,-0.0434
