"","var_true_theta"
"1",0.653853898909053
"2",1.01076014807158
"3",0.895342727913029
"4",1.03641958279763
"5",0.60040998511884
"6",0.824365402222258
"7",0.735152260198947
"8",0.761728310052905
"9",1.19514570484365
"10",1.09224942713787
"11",1.12251236924824
"12",0.841209622861753
"13",0.592425398413641
"14",0.825049355026488
"15",1.22306466075139
"16",0.856382071351186
"17",0.706061472608094
"18",0.955796012622047
"19",0.707739560977981
"20",0.778575923680872
"21",1.13906436244177
"22",0.84892604060449
"23",1.02823458856533
"24",1.13757148940846
"25",0.948447382235191
"26",0.923878925657666
"27",0.763859628678888
"28",1.17313781839218
"29",0.971739001183523
"30",0.900824408341983
"31",1.21777492769246
"32",0.579422444441252
"33",0.994558780908857
"34",0.948653943089701
"35",0.759991229648636
"36",1.20659407691059
"37",0.831415877216215
"38",0.999297047525291
"39",0.861084112762556
"40",0.883086283797783
"41",1.24111545596037
"42",1.25033048471614
"43",1.01574882291319
"44",1.16399320304815
"45",0.924941553252011
"46",1.26144205878858
"47",1.0185501466431
"48",0.992627507528288
"49",0.816156081889386
"50",1.17043530899675
"51",0.749274831017055
"52",1.14871248372215
"53",0.940922738893849
"54",1.15097660041009
"55",0.692294963706356
"56",0.954964220069067
"57",1.02253827774073
"58",1.35836996664131
"59",0.83944239955884
"60",0.845609103571164
"61",1.03979842981219
"62",1.25444276565778
"63",1.13248468003086
"64",0.975882092406512
"65",1.36325874090391
"66",1.37600059137121
"67",1.05154749383286
"68",0.973002216355317
"69",1.07984536071966
"70",0.848084613630632
"71",1.32197120318428
"72",0.984411433632333
"73",1.05678336945013
"74",0.888950799630775
"75",1.08576386814787
"76",0.939279501075256
"77",0.747292290456703
"78",1.5238886857792
"79",0.982878321543687
"80",1.08178285105476
"81",1.19607009777783
"82",0.826856051706847
"83",1.23656521885863
"84",1.08382324107944
"85",1.05847590407908
"86",1.11558003865154
"87",1.3278028938086
"88",0.850929620849264
"89",0.87333517616414
"90",0.852364013504338
"91",0.792921883068195
"92",0.831397881111559
"93",0.744913539260656
"94",1.086512493221
"95",0.821883175585
"96",1.48191366329949
"97",0.997703894164255
"98",0.940019950978453
"99",1.050499273591
"100",1.35135630558959
