"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,4e-04,0,0.0056
"[-5.76,-5.52)",0,4e-04,0,0.0052
"[-5.52,-5.28)",0,4e-04,4e-04,0.008
"[-5.28,-5.04)",0,0,4e-04,0.0048
"[-5.04,-4.8)",0,8e-04,4e-04,0.0112
"[-4.8,-4.56)",0,8e-04,0,0.0112
"[-4.56,-4.32)",0,8e-04,0.0012,0.0084
"[-4.32,-4.08)",4e-04,4e-04,0.0012,0.006
"[-4.08,-3.84)",0,4e-04,0.0012,0.0116
"[-3.84,-3.6)",4e-04,0.002,0.0016,0.0132
"[-3.6,-3.36)",4e-04,0.0012,4e-04,0.0096
"[-3.36,-3.12)",0,0.002,0.0012,0.0168
"[-3.12,-2.88)",0.0016,0.0036,0.0064,0.0092
"[-2.88,-2.64)",8e-04,0.004,0.0048,0.0176
"[-2.64,-2.4)",4e-04,0.0064,0.0056,0.0156
"[-2.4,-2.16)",0.0024,0.01,0.0048,0.0184
"[-2.16,-1.92)",0.002,0.0136,0.0104,0.0168
"[-1.92,-1.68)",0.0024,0.0136,0.0136,0.0272
"[-1.68,-1.44)",0.008,0.0212,0.0208,0.0256
"[-1.44,-1.2)",0.0076,0.0316,0.0272,0.0256
"[-1.2,-0.96)",0.0256,0.0496,0.0408,0.028
"[-0.96,-0.72)",0.0476,0.0496,0.0556,0.0324
"[-0.72,-0.48)",0.0924,0.0776,0.074,0.0248
"[-0.48,-0.24)",0.0988,0.0932,0.0928,0.0288
"[-0.24,0)",0.1516,0.0896,0.102,0.0332
"[0,0.24)",0.1832,0.0968,0.1112,0.03
"[0.24,0.48)",0.1352,0.0864,0.1028,0.0304
"[0.48,0.72)",0.1212,0.0884,0.0824,0.0336
"[0.72,0.96)",0.05,0.0708,0.0664,0.0288
"[0.96,1.2)",0.0244,0.0564,0.05,0.0284
"[1.2,1.44)",0.0228,0.0368,0.034,0.03
"[1.44,1.68)",0.0116,0.0232,0.0248,0.0272
"[1.68,1.92)",0.0028,0.0196,0.014,0.0244
"[1.92,2.16)",0.0012,0.0104,0.0144,0.02
"[2.16,2.4)",0.0016,0.0112,0.0076,0.0212
"[2.4,2.64)",4e-04,0.006,0.008,0.0184
"[2.64,2.88)",4e-04,0.0048,0.0028,0.0148
"[2.88,3.12)",4e-04,0.0032,0.0036,0.0116
"[3.12,3.36)",4e-04,4e-04,0.0032,0.0128
"[3.36,3.6)",0.0012,0.0016,0.0016,0.0104
"[3.6,3.84)",8e-04,0.002,0.0016,0.008
"[3.84,4.08)",0,0.0016,8e-04,0.0088
"[4.08,4.32)",0,0.0016,4e-04,0.0112
"[4.32,4.56)",0,0.0012,8e-04,0.0096
"[4.56,4.8)",0,0,8e-04,0.004
"[4.8,5.04)",0,0,0,0.008
"[5.04,5.28)",0,0.002,4e-04,0.01
"[5.28,5.52)",0,8e-04,4e-04,0.0132
"[5.52,5.76)",0,4e-04,0,0.006
"[5.76,6)",0,0,0,0.0056
