"","alpha_choice","sample","mean","var"
"1","DORO","Prior",94.3351032904245,22146.9395539793
"2","DORO","Posterior",36.9822823142576,8397.55205660221
"3","Diffuse","Prior",24.6327583378947,241.65302676429
"4","Diffuse","Posterior",17.8912930113244,157.870991858389
