"","truth","N","ICC","rsr","df"
"205","Mixed",100,0.9,1,5
"206","Mixed",100,0.9,5,5
"207","Mixed",100,0.9,10,5
"208","Mixed",200,0.1,1,5
"209","Mixed",200,0.1,5,5
"210","Mixed",200,0.1,10,5
"211","Mixed",200,0.5,1,5
"212","Mixed",200,0.5,5,5
"213","Mixed",200,0.5,10,5
"214","Mixed",200,0.9,1,5
"215","Mixed",200,0.9,5,5
"216","Mixed",200,0.9,10,5
