"","truth","N","ICC","rsr","assumed","df","fname","dg_name"
"52","Gaussian",50,0.5,1,"DP-EB",5,"Gaussian_50_0.5_1_DP-EB","Gaussian_50_0.5_1"
"53","Gaussian",50,0.5,5,"Gaussian",5,"Gaussian_50_0.5_5_Gaussian","Gaussian_50_0.5_5"
"54","Gaussian",50,0.5,5,"T",5,"Gaussian_50_0.5_5_T","Gaussian_50_0.5_5"
"55","Gaussian",50,0.5,5,"DP-diffuse",5,"Gaussian_50_0.5_5_DP-diffuse","Gaussian_50_0.5_5"
"56","Gaussian",50,0.5,5,"DP-EB",5,"Gaussian_50_0.5_5_DP-EB","Gaussian_50_0.5_5"
"57","Gaussian",50,0.5,10,"Gaussian",5,"Gaussian_50_0.5_10_Gaussian","Gaussian_50_0.5_10"
"58","Gaussian",50,0.5,10,"T",5,"Gaussian_50_0.5_10_T","Gaussian_50_0.5_10"
"59","Gaussian",50,0.5,10,"DP-diffuse",5,"Gaussian_50_0.5_10_DP-diffuse","Gaussian_50_0.5_10"
"60","Gaussian",50,0.5,10,"DP-EB",5,"Gaussian_50_0.5_10_DP-EB","Gaussian_50_0.5_10"
"61","Gaussian",50,0.9,1,"Gaussian",5,"Gaussian_50_0.9_1_Gaussian","Gaussian_50_0.9_1"
"62","Gaussian",50,0.9,1,"T",5,"Gaussian_50_0.9_1_T","Gaussian_50_0.9_1"
"63","Gaussian",50,0.9,1,"DP-diffuse",5,"Gaussian_50_0.9_1_DP-diffuse","Gaussian_50_0.9_1"
"64","Gaussian",50,0.9,1,"DP-EB",5,"Gaussian_50_0.9_1_DP-EB","Gaussian_50_0.9_1"
"65","Gaussian",50,0.9,5,"Gaussian",5,"Gaussian_50_0.9_5_Gaussian","Gaussian_50_0.9_5"
"66","Gaussian",50,0.9,5,"T",5,"Gaussian_50_0.9_5_T","Gaussian_50_0.9_5"
"67","Gaussian",50,0.9,5,"DP-diffuse",5,"Gaussian_50_0.9_5_DP-diffuse","Gaussian_50_0.9_5"
"68","Gaussian",50,0.9,5,"DP-EB",5,"Gaussian_50_0.9_5_DP-EB","Gaussian_50_0.9_5"
"69","Gaussian",50,0.9,10,"Gaussian",5,"Gaussian_50_0.9_10_Gaussian","Gaussian_50_0.9_10"
"70","Gaussian",50,0.9,10,"T",5,"Gaussian_50_0.9_10_T","Gaussian_50_0.9_10"
"71","Gaussian",50,0.9,10,"DP-diffuse",5,"Gaussian_50_0.9_10_DP-diffuse","Gaussian_50_0.9_10"
"72","Gaussian",50,0.9,10,"DP-EB",5,"Gaussian_50_0.9_10_DP-EB","Gaussian_50_0.9_10"
"73","Gaussian",100,0.1,1,"Gaussian",5,"Gaussian_100_0.1_1_Gaussian","Gaussian_100_0.1_1"
"74","Gaussian",100,0.1,1,"T",5,"Gaussian_100_0.1_1_T","Gaussian_100_0.1_1"
"75","Gaussian",100,0.1,1,"DP-diffuse",5,"Gaussian_100_0.1_1_DP-diffuse","Gaussian_100_0.1_1"
"76","Gaussian",100,0.1,1,"DP-EB",5,"Gaussian_100_0.1_1_DP-EB","Gaussian_100_0.1_1"
"77","Gaussian",100,0.1,5,"Gaussian",5,"Gaussian_100_0.1_5_Gaussian","Gaussian_100_0.1_5"
