"","truth","assumed","rgt","rsr","n","df","fname"
"380","Mix","T",1,5,100,5,"Mix_T_1_5_100"
"381","Mix","DP",1,5,100,5,"Mix_DP_1_5_100"
"382","Skew","Gaussian",1,5,100,5,"Skew_Gaussian_1_5_100"
"383","Skew","T",1,5,100,5,"Skew_T_1_5_100"
"384","Skew","DP",1,5,100,5,"Skew_DP_1_5_100"
"385","Gaussian","Gaussian",1,10,100,5,"Gaussian_Gaussian_1_10_100"
"386","Gaussian","T",1,10,100,5,"Gaussian_T_1_10_100"
"387","Gaussian","DP",1,10,100,5,"Gaussian_DP_1_10_100"
"388","T","Gaussian",1,10,100,5,"T_Gaussian_1_10_100"
"389","T","T",1,10,100,5,"T_T_1_10_100"
"390","T","DP",1,10,100,5,"T_DP_1_10_100"
"391","Mix","Gaussian",1,10,100,5,"Mix_Gaussian_1_10_100"
"392","Mix","T",1,10,100,5,"Mix_T_1_10_100"
"393","Mix","DP",1,10,100,5,"Mix_DP_1_10_100"
"394","Skew","Gaussian",1,10,100,5,"Skew_Gaussian_1_10_100"
"395","Skew","T",1,10,100,5,"Skew_T_1_10_100"
"396","Skew","DP",1,10,100,5,"Skew_DP_1_10_100"
"397","Gaussian","Gaussian",10,1,100,5,"Gaussian_Gaussian_10_1_100"
"398","Gaussian","T",10,1,100,5,"Gaussian_T_10_1_100"
"399","Gaussian","DP",10,1,100,5,"Gaussian_DP_10_1_100"
"400","T","Gaussian",10,1,100,5,"T_Gaussian_10_1_100"
"401","T","T",10,1,100,5,"T_T_10_1_100"
"402","T","DP",10,1,100,5,"T_DP_10_1_100"
"403","Mix","Gaussian",10,1,100,5,"Mix_Gaussian_10_1_100"
"404","Mix","T",10,1,100,5,"Mix_T_10_1_100"
"405","Mix","DP",10,1,100,5,"Mix_DP_10_1_100"
"406","Skew","Gaussian",10,1,100,5,"Skew_Gaussian_10_1_100"
"407","Skew","T",10,1,100,5,"Skew_T_10_1_100"
"408","Skew","DP",10,1,100,5,"Skew_DP_10_1_100"
"409","Gaussian","Gaussian",10,5,100,5,"Gaussian_Gaussian_10_5_100"
"410","Gaussian","T",10,5,100,5,"Gaussian_T_10_5_100"
"411","Gaussian","DP",10,5,100,5,"Gaussian_DP_10_5_100"
"412","T","Gaussian",10,5,100,5,"T_Gaussian_10_5_100"
"413","T","T",10,5,100,5,"T_T_10_5_100"
"414","T","DP",10,5,100,5,"T_DP_10_5_100"
"415","Mix","Gaussian",10,5,100,5,"Mix_Gaussian_10_5_100"
"416","Mix","T",10,5,100,5,"Mix_T_10_5_100"
"417","Mix","DP",10,5,100,5,"Mix_DP_10_5_100"
"418","Skew","Gaussian",10,5,100,5,"Skew_Gaussian_10_5_100"
"419","Skew","T",10,5,100,5,"Skew_T_10_5_100"
"420","Skew","DP",10,5,100,5,"Skew_DP_10_5_100"
"421","Gaussian","Gaussian",10,10,100,5,"Gaussian_Gaussian_10_10_100"
"422","Gaussian","T",10,10,100,5,"Gaussian_T_10_10_100"
"423","Gaussian","DP",10,10,100,5,"Gaussian_DP_10_10_100"
"424","T","Gaussian",10,10,100,5,"T_Gaussian_10_10_100"
"425","T","T",10,10,100,5,"T_T_10_10_100"
"426","T","DP",10,10,100,5,"T_DP_10_10_100"
"427","Mix","Gaussian",10,10,100,5,"Mix_Gaussian_10_10_100"
"428","Mix","T",10,10,100,5,"Mix_T_10_10_100"
"429","Mix","DP",10,10,100,5,"Mix_DP_10_10_100"
"430","Skew","Gaussian",10,10,100,5,"Skew_Gaussian_10_10_100"
"431","Skew","T",10,10,100,5,"Skew_T_10_10_100"
"432","Skew","DP",10,10,100,5,"Skew_DP_10_10_100"
"433","Gaussian","Gaussian",0.1,1,200,5,"Gaussian_Gaussian_0.1_1_200"
"434","Gaussian","T",0.1,1,200,5,"Gaussian_T_0.1_1_200"
"435","Gaussian","DP",0.1,1,200,5,"Gaussian_DP_0.1_1_200"
"436","T","Gaussian",0.1,1,200,5,"T_Gaussian_0.1_1_200"
"437","T","T",0.1,1,200,5,"T_T_0.1_1_200"
"438","T","DP",0.1,1,200,5,"T_DP_0.1_1_200"
"439","Mix","Gaussian",0.1,1,200,5,"Mix_Gaussian_0.1_1_200"
"440","Mix","T",0.1,1,200,5,"Mix_T_0.1_1_200"
"441","Mix","DP",0.1,1,200,5,"Mix_DP_0.1_1_200"
"442","Skew","Gaussian",0.1,1,200,5,"Skew_Gaussian_0.1_1_200"
"443","Skew","T",0.1,1,200,5,"Skew_T_0.1_1_200"
"444","Skew","DP",0.1,1,200,5,"Skew_DP_0.1_1_200"
"445","Gaussian","Gaussian",0.1,5,200,5,"Gaussian_Gaussian_0.1_5_200"
"446","Gaussian","T",0.1,5,200,5,"Gaussian_T_0.1_5_200"
"447","Gaussian","DP",0.1,5,200,5,"Gaussian_DP_0.1_5_200"
"448","T","Gaussian",0.1,5,200,5,"T_Gaussian_0.1_5_200"
"449","T","T",0.1,5,200,5,"T_T_0.1_5_200"
"450","T","DP",0.1,5,200,5,"T_DP_0.1_5_200"
"451","Mix","Gaussian",0.1,5,200,5,"Mix_Gaussian_0.1_5_200"
"452","Mix","T",0.1,5,200,5,"Mix_T_0.1_5_200"
"453","Mix","DP",0.1,5,200,5,"Mix_DP_0.1_5_200"
"454","Skew","Gaussian",0.1,5,200,5,"Skew_Gaussian_0.1_5_200"
"455","Skew","T",0.1,5,200,5,"Skew_T_0.1_5_200"
"456","Skew","DP",0.1,5,200,5,"Skew_DP_0.1_5_200"
"457","Gaussian","Gaussian",0.1,10,200,5,"Gaussian_Gaussian_0.1_10_200"
"458","Gaussian","T",0.1,10,200,5,"Gaussian_T_0.1_10_200"
