"","truth","assumed","rgt","rsr","n","df","fname"
"172","T","Gaussian",0.1,10,50,5,"T_Gaussian_0.1_10_50"
"173","T","T",0.1,10,50,5,"T_T_0.1_10_50"
"174","T","DP",0.1,10,50,5,"T_DP_0.1_10_50"
"175","Mix","Gaussian",0.1,10,50,5,"Mix_Gaussian_0.1_10_50"
"176","Mix","T",0.1,10,50,5,"Mix_T_0.1_10_50"
"177","Mix","DP",0.1,10,50,5,"Mix_DP_0.1_10_50"
"178","Skew","Gaussian",0.1,10,50,5,"Skew_Gaussian_0.1_10_50"
"179","Skew","T",0.1,10,50,5,"Skew_T_0.1_10_50"
"180","Skew","DP",0.1,10,50,5,"Skew_DP_0.1_10_50"
"181","Gaussian","Gaussian",0.33,1,50,5,"Gaussian_Gaussian_0.33_1_50"
"182","Gaussian","T",0.33,1,50,5,"Gaussian_T_0.33_1_50"
"183","Gaussian","DP",0.33,1,50,5,"Gaussian_DP_0.33_1_50"
"184","T","Gaussian",0.33,1,50,5,"T_Gaussian_0.33_1_50"
"185","T","T",0.33,1,50,5,"T_T_0.33_1_50"
"186","T","DP",0.33,1,50,5,"T_DP_0.33_1_50"
"187","Mix","Gaussian",0.33,1,50,5,"Mix_Gaussian_0.33_1_50"
"188","Mix","T",0.33,1,50,5,"Mix_T_0.33_1_50"
"189","Mix","DP",0.33,1,50,5,"Mix_DP_0.33_1_50"
"190","Skew","Gaussian",0.33,1,50,5,"Skew_Gaussian_0.33_1_50"
"191","Skew","T",0.33,1,50,5,"Skew_T_0.33_1_50"
"192","Skew","DP",0.33,1,50,5,"Skew_DP_0.33_1_50"
"193","Gaussian","Gaussian",0.33,5,50,5,"Gaussian_Gaussian_0.33_5_50"
"194","Gaussian","T",0.33,5,50,5,"Gaussian_T_0.33_5_50"
"195","Gaussian","DP",0.33,5,50,5,"Gaussian_DP_0.33_5_50"
"196","T","Gaussian",0.33,5,50,5,"T_Gaussian_0.33_5_50"
"197","T","T",0.33,5,50,5,"T_T_0.33_5_50"
"198","T","DP",0.33,5,50,5,"T_DP_0.33_5_50"
"199","Mix","Gaussian",0.33,5,50,5,"Mix_Gaussian_0.33_5_50"
"200","Mix","T",0.33,5,50,5,"Mix_T_0.33_5_50"
"201","Mix","DP",0.33,5,50,5,"Mix_DP_0.33_5_50"
"202","Skew","Gaussian",0.33,5,50,5,"Skew_Gaussian_0.33_5_50"
"203","Skew","T",0.33,5,50,5,"Skew_T_0.33_5_50"
"204","Skew","DP",0.33,5,50,5,"Skew_DP_0.33_5_50"
"205","Gaussian","Gaussian",0.33,10,50,5,"Gaussian_Gaussian_0.33_10_50"
"206","Gaussian","T",0.33,10,50,5,"Gaussian_T_0.33_10_50"
"207","Gaussian","DP",0.33,10,50,5,"Gaussian_DP_0.33_10_50"
"208","T","Gaussian",0.33,10,50,5,"T_Gaussian_0.33_10_50"
"209","T","T",0.33,10,50,5,"T_T_0.33_10_50"
"210","T","DP",0.33,10,50,5,"T_DP_0.33_10_50"
"211","Mix","Gaussian",0.33,10,50,5,"Mix_Gaussian_0.33_10_50"
"212","Mix","T",0.33,10,50,5,"Mix_T_0.33_10_50"
"213","Mix","DP",0.33,10,50,5,"Mix_DP_0.33_10_50"
"214","Skew","Gaussian",0.33,10,50,5,"Skew_Gaussian_0.33_10_50"
"215","Skew","T",0.33,10,50,5,"Skew_T_0.33_10_50"
"216","Skew","DP",0.33,10,50,5,"Skew_DP_0.33_10_50"
"217","Gaussian","Gaussian",1,1,50,5,"Gaussian_Gaussian_1_1_50"
"218","Gaussian","T",1,1,50,5,"Gaussian_T_1_1_50"
"219","Gaussian","DP",1,1,50,5,"Gaussian_DP_1_1_50"
"220","T","Gaussian",1,1,50,5,"T_Gaussian_1_1_50"
"221","T","T",1,1,50,5,"T_T_1_1_50"
"222","T","DP",1,1,50,5,"T_DP_1_1_50"
"223","Mix","Gaussian",1,1,50,5,"Mix_Gaussian_1_1_50"
"224","Mix","T",1,1,50,5,"Mix_T_1_1_50"
"225","Mix","DP",1,1,50,5,"Mix_DP_1_1_50"
"226","Skew","Gaussian",1,1,50,5,"Skew_Gaussian_1_1_50"
"227","Skew","T",1,1,50,5,"Skew_T_1_1_50"
"228","Skew","DP",1,1,50,5,"Skew_DP_1_1_50"
"229","Gaussian","Gaussian",1,5,50,5,"Gaussian_Gaussian_1_5_50"
"230","Gaussian","T",1,5,50,5,"Gaussian_T_1_5_50"
"231","Gaussian","DP",1,5,50,5,"Gaussian_DP_1_5_50"
"232","T","Gaussian",1,5,50,5,"T_Gaussian_1_5_50"
"233","T","T",1,5,50,5,"T_T_1_5_50"
"234","T","DP",1,5,50,5,"T_DP_1_5_50"
"235","Mix","Gaussian",1,5,50,5,"Mix_Gaussian_1_5_50"
"236","Mix","T",1,5,50,5,"Mix_T_1_5_50"
"237","Mix","DP",1,5,50,5,"Mix_DP_1_5_50"
"238","Skew","Gaussian",1,5,50,5,"Skew_Gaussian_1_5_50"
"239","Skew","T",1,5,50,5,"Skew_T_1_5_50"
"240","Skew","DP",1,5,50,5,"Skew_DP_1_5_50"
