"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.036,-0.014
"2","PM",0.1,0.0760000000000001,-0.024
"3","PM",0.25,0.2152,-0.0348
"4","PM",0.75,0.796,0.046
"5","PM",0.9,0.924,0.024
"6","PM",0.95,0.958799999999999,0.0088
"7","CB",0.05,0.052,0.002
"8","CB",0.1,0.1048,0.0048
"9","CB",0.25,0.2472,-0.0028
"10","CB",0.75,0.7544,0.0044
"11","CB",0.9,0.904,0.004
"12","CB",0.95,0.9448,-0.0052
"13","GR",0.05,0.054,0.004
"14","GR",0.1,0.1064,0.0064
"15","GR",0.25,0.25,0
"16","GR",0.75,0.7488,-0.0012
"17","GR",0.9,0.8964,-0.0036
"18","GR",0.95,0.946,-0.004
"19","ML",0.05,0.0780000000000001,0.028
"20","ML",0.1,0.1392,0.0392
"21","ML",0.25,0.2952,0.0452
"22","ML",0.75,0.7028,-0.0472
"23","ML",0.9,0.8604,-0.0396
"24","ML",0.95,0.9224,-0.0276
