"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,0
"[-5.76,-5.52)",0,0,0,0
"[-5.52,-5.28)",0,4e-04,0,8e-04
"[-5.28,-5.04)",4e-04,4e-04,4e-04,4e-04
"[-5.04,-4.8)",4e-04,4e-04,4e-04,4e-04
"[-4.8,-4.56)",4e-04,8e-04,4e-04,4e-04
"[-4.56,-4.32)",4e-04,4e-04,8e-04,4e-04
"[-4.32,-4.08)",4e-04,8e-04,0,0.0016
"[-4.08,-3.84)",0.0012,0.0012,0.0012,8e-04
"[-3.84,-3.6)",8e-04,4e-04,8e-04,4e-04
"[-3.6,-3.36)",8e-04,8e-04,8e-04,0.002
"[-3.36,-3.12)",8e-04,0.002,0.0012,0.002
"[-3.12,-2.88)",0.002,0.0016,0.002,0.0028
"[-2.88,-2.64)",8e-04,0.0028,0.0012,0.0024
"[-2.64,-2.4)",0.0032,0.0028,0.004,0.0048
"[-2.4,-2.16)",0.002,0.0056,0.0068,0.0092
"[-2.16,-1.92)",0.006,0.0076,0.008,0.0152
"[-1.92,-1.68)",0.01,0.0148,0.014,0.0224
"[-1.68,-1.44)",0.014,0.018,0.0216,0.0292
"[-1.44,-1.2)",0.0248,0.0364,0.0336,0.0368
"[-1.2,-0.96)",0.0424,0.0376,0.0444,0.0404
"[-0.96,-0.72)",0.0464,0.056,0.0596,0.0692
"[-0.72,-0.48)",0.0924,0.0832,0.0812,0.0796
"[-0.48,-0.24)",0.1044,0.1016,0.0996,0.0868
"[-0.24,0)",0.1412,0.124,0.114,0.0976
"[0,0.24)",0.138,0.1204,0.1188,0.0824
"[0.24,0.48)",0.122,0.1048,0.104,0.0888
"[0.48,0.72)",0.0876,0.0876,0.0828,0.0816
"[0.72,0.96)",0.0556,0.058,0.0584,0.0632
"[0.96,1.2)",0.0308,0.0396,0.0432,0.0496
"[1.2,1.44)",0.0208,0.0256,0.03,0.0368
"[1.44,1.68)",0.0172,0.0168,0.0196,0.026
"[1.68,1.92)",0.0116,0.0156,0.0152,0.0164
"[1.92,2.16)",0.0044,0.0092,0.0112,0.0164
"[2.16,2.4)",0.0056,0.0048,0.0064,0.01
"[2.4,2.64)",0.0024,0.0044,0.0044,0.0052
"[2.64,2.88)",0.002,0.0028,0.0032,0.0044
"[2.88,3.12)",0.0024,0.0036,0.002,0.0036
"[3.12,3.36)",8e-04,0.0024,0.0012,0.004
"[3.36,3.6)",8e-04,4e-04,4e-04,0.0012
"[3.6,3.84)",0.0012,0.0012,0.0016,0.0016
"[3.84,4.08)",4e-04,0.0012,4e-04,8e-04
"[4.08,4.32)",0,8e-04,0,0.0012
"[4.32,4.56)",0,0,0,0
"[4.56,4.8)",4e-04,0,4e-04,0
"[4.8,5.04)",0,0,0,0
"[5.04,5.28)",0,4e-04,0,4e-04
"[5.28,5.52)",0,0,0,0
"[5.52,5.76)",0,0,0,0
"[5.76,6)",0,0,0,0
