"","quantity","estimator","value"
"1","mean","PM",0.0237713867334787
"2","mean","CB",0.0237713867334787
"3","mean","GR",0.0236588375694714
"4","mean","ML",0.0081039364493361
"5","var","PM",0.29942288426951
"6","var","CB",1.82307205409618
"7","var","GR",1.76398313229493
"8","var","ML",23.1899169452603
"9","var","true",1.05083812875681
"10","SSEL","PM",1.21592449712147
"11","SSEL","CB",2.08912093300736
"12","SSEL","GR",2.08119572314138
"13","SSEL","ML",22.0958628999699
"14","WSSEL","PM",60.7962248560733
"15","WSSEL","CB",104.456046650368
"16","WSSEL","GR",104.059786157069
"17","WSSEL","ML",1104.7931449985
"18","ISEL","PM",0.168301842883789
"19","ISEL","CB",0.110826633223289
"20","ISEL","GR",0.0998679690805802
"21","ISEL","ML",0.435008101691292
"22","SELrank","PM",0.108150096116878
"23","SELrank","CB",0.108150096116878
"24","SELrank","GR",0.107766705113418
"25","SELrank","ML",0.11956678200692
