"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0388,-0.0112
"2","PM",0.1,0.086,-0.014
"3","PM",0.25,0.2492,-8e-04
"4","PM",0.75,0.7684,0.0184
"5","PM",0.9,0.9196,0.0196
"6","PM",0.95,0.9652,0.0152
"7","CB",0.05,0.0464,-0.0036
"8","CB",0.1,0.0956,-0.0044
"9","CB",0.25,0.2668,0.0168
"10","CB",0.75,0.7468,-0.0032
"11","CB",0.9,0.9072,0.0072
"12","CB",0.95,0.9568,0.0068
"13","GR",0.05,0.048,-0.002
"14","GR",0.1,0.1012,0.0012
"15","GR",0.25,0.2672,0.0172
"16","GR",0.75,0.748,-0.002
"17","GR",0.9,0.9056,0.0056
"18","GR",0.95,0.956399999999999,0.0064
"19","ML",0.05,0.0596,0.0096
"20","ML",0.1,0.1164,0.0164
"21","ML",0.25,0.2824,0.0324
"22","ML",0.75,0.73,-0.02
"23","ML",0.9,0.8912,-0.0088
"24","ML",0.95,0.9484,-0.0016
