"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,8e-04,0.0068
"[-5.76,-5.52)",0,0,0,0.0072
"[-5.52,-5.28)",0,0.0012,8e-04,0.0088
"[-5.28,-5.04)",0,8e-04,8e-04,0.0068
"[-5.04,-4.8)",4e-04,0,4e-04,0.0076
"[-4.8,-4.56)",0,8e-04,8e-04,0.0128
"[-4.56,-4.32)",4e-04,0,0.0016,0.0092
"[-4.32,-4.08)",0,0.0016,0.0024,0.0124
"[-4.08,-3.84)",4e-04,0.0016,0.0012,0.0116
"[-3.84,-3.6)",0,0.0012,0.002,0.0128
"[-3.6,-3.36)",8e-04,0.0024,0.0024,0.0112
"[-3.36,-3.12)",0,0.004,0.0028,0.0136
"[-3.12,-2.88)",8e-04,0.0064,0.0048,0.0184
"[-2.88,-2.64)",0,0.0104,0.0068,0.0208
"[-2.64,-2.4)",0.0024,0.0164,0.0072,0.0228
"[-2.4,-2.16)",8e-04,0.0116,0.0108,0.0304
"[-2.16,-1.92)",0.0012,0.018,0.0132,0.0232
"[-1.92,-1.68)",0.006,0.022,0.0192,0.0204
"[-1.68,-1.44)",0.0164,0.0316,0.0268,0.0216
"[-1.44,-1.2)",0.0276,0.0328,0.036,0.0264
"[-1.2,-0.96)",0.036,0.0436,0.0456,0.0252
"[-0.96,-0.72)",0.0508,0.0588,0.058,0.0292
"[-0.72,-0.48)",0.0624,0.0624,0.0704,0.032
"[-0.48,-0.24)",0.1272,0.07,0.0808,0.0336
"[-0.24,0)",0.1356,0.0812,0.0816,0.03
"[0,0.24)",0.1444,0.0704,0.088,0.0248
"[0.24,0.48)",0.1112,0.0728,0.0808,0.0232
"[0.48,0.72)",0.0956,0.0732,0.0724,0.0288
"[0.72,0.96)",0.0776,0.0624,0.0628,0.0332
"[0.96,1.2)",0.0268,0.0528,0.0524,0.02
"[1.2,1.44)",0.0228,0.0436,0.0384,0.028
"[1.44,1.68)",0.0112,0.034,0.0296,0.028
"[1.68,1.92)",0.0132,0.0276,0.022,0.0272
"[1.92,2.16)",0.012,0.0196,0.0176,0.026
"[2.16,2.4)",0.0016,0.0144,0.0136,0.0232
"[2.4,2.64)",0.0036,0.014,0.0092,0.026
"[2.64,2.88)",0.002,0.008,0.0076,0.0208
"[2.88,3.12)",0.0028,0.0052,0.0048,0.022
"[3.12,3.36)",0.0016,0.0032,0.004,0.0196
"[3.36,3.6)",0.0012,0.0036,0.002,0.0196
"[3.6,3.84)",8e-04,0.0016,0.0036,0.0196
"[3.84,4.08)",4e-04,0.0028,0.002,0.0108
"[4.08,4.32)",0,8e-04,0.002,0.0112
"[4.32,4.56)",0,0.002,0.0016,0.0116
"[4.56,4.8)",0,4e-04,0.002,0.0104
"[4.8,5.04)",4e-04,0.0028,0,0.0072
"[5.04,5.28)",0.0012,0.0016,0.0012,0.0088
"[5.28,5.52)",0,4e-04,0,0.01
"[5.52,5.76)",0,0,8e-04,0.004
"[5.76,6)",0,0,8e-04,0.0064
