"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.054,0.004
"2","PM",0.1,0.0784,-0.0216
"3","PM",0.25,0.1504,-0.0996
"4","PM",0.75,0.6968,-0.0532
"5","PM",0.9,0.9596,0.0596
"6","PM",0.95,0.98,0.03
"7","CB",0.05,0.1572,0.1072
"8","CB",0.1,0.1932,0.0932
"9","CB",0.25,0.2712,0.0212
"10","CB",0.75,0.5948,-0.1552
"11","CB",0.9,0.892,-0.008
"12","CB",0.95,0.93,-0.02
"13","GR",0.05,0.1364,0.0864
"14","GR",0.1,0.1704,0.0704
"15","GR",0.25,0.2564,0.0064
"16","GR",0.75,0.6168,-0.1332
"17","GR",0.9,0.9036,0.0036
"18","GR",0.95,0.9348,-0.0152
"19","ML",0.05,0.338,0.288
"20","ML",0.1,0.3616,0.2616
"21","ML",0.25,0.4028,0.1528
"22","ML",0.75,0.5296,-0.2204
"23","ML",0.9,0.6804,-0.2196
"24","ML",0.95,0.7212,-0.2288
