"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0194,-0.0306
"2","PM",0.1,0.0414,-0.0586
"3","PM",0.25,0.1508,-0.0992
"4","PM",0.75,0.8314,0.0814
"5","PM",0.9,0.9484,0.0484
"6","PM",0.95,0.9758,0.0258
"7","CB",0.05,0.0422,-0.0078
"8","CB",0.1,0.0887999999999999,-0.0112
"9","CB",0.25,0.2276,-0.0224
"10","CB",0.75,0.7562,0.0062
"11","CB",0.9,0.9004,4e-04
"12","CB",0.95,0.9496,-4e-04
"13","GR",0.05,0.0484,-0.0016
"14","GR",0.1,0.0944,-0.0056
"15","GR",0.25,0.2272,-0.0228
"16","GR",0.75,0.7568,0.0068
"17","GR",0.9,0.8964,-0.0036
"18","GR",0.95,0.9472,-0.0028
"19","ML",0.05,0.118,0.068
"20","ML",0.1,0.185,0.085
"21","ML",0.25,0.331,0.081
"22","ML",0.75,0.655799999999999,-0.0942
"23","ML",0.9,0.7946,-0.1054
"24","ML",0.95,0.8672,-0.0828
