"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0316,-0.0184
"2","PM",0.1,0.0696000000000001,-0.0304
"3","PM",0.25,0.2072,-0.0428
"4","PM",0.75,0.8072,0.0572
"5","PM",0.9,0.936,0.036
"6","PM",0.95,0.9712,0.0212
"7","CB",0.05,0.0504,4e-04
"8","CB",0.1,0.1016,0.0016
"9","CB",0.25,0.248,-0.002
"10","CB",0.75,0.7612,0.0112
"11","CB",0.9,0.914800000000001,0.0148
"12","CB",0.95,0.9508,8e-04
"13","GR",0.05,0.0484,-0.0016
"14","GR",0.1,0.1028,0.0028
"15","GR",0.25,0.258,0.008
"16","GR",0.75,0.7576,0.0076
"17","GR",0.9,0.9048,0.0048
"18","GR",0.95,0.9524,0.0024
"19","ML",0.05,0.0852000000000001,0.0352
"20","ML",0.1,0.152,0.052
"21","ML",0.25,0.3084,0.0584
"22","ML",0.75,0.7136,-0.0364
"23","ML",0.9,0.862,-0.038
"24","ML",0.95,0.9172,-0.0328
