"","quantity","estimator","value"
"1","mean","PM",-0.023115723336153
"2","mean","CB",-0.023115723336153
"3","mean","GR",-0.0232503220460367
"4","mean","ML",-0.0174198485567552
"5","var","PM",0.730702618865634
"6","var","CB",1.02237032392555
"7","var","GR",0.990061155711886
"8","var","ML",1.53796907549716
"9","var","true",0.983766919425381
"10","SSEL","PM",0.281023587828117
"11","SSEL","CB",0.302829173574934
"12","SSEL","GR",0.327257528979922
"13","SSEL","ML",0.483913541470716
"14","WSSEL","PM",7.02558969570294
"15","WSSEL","CB",7.57072933937335
"16","WSSEL","GR",8.18143822449806
"17","WSSEL","ML",12.0978385367679
"18","ISEL","PM",0.0244891910110885
"19","ISEL","CB",0.0192181978582726
"20","ISEL","GR",0.01641241607677
"21","ISEL","ML",0.0266198967252554
"22","SELrank","PM",0.0308355029585799
"23","SELrank","CB",0.0308355029585799
"24","SELrank","GR",0.0306011834319527
"25","SELrank","ML",0.0332189349112426
