"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0532,0.0032
"2","PM",0.1,0.0979999999999999,-0.002
"3","PM",0.25,0.2248,-0.0252
"4","PM",0.75,0.7224,-0.0276
"5","PM",0.9,0.9576,0.0576
"6","PM",0.95,0.9748,0.0248
"7","CB",0.05,0.0924,0.0424
"8","CB",0.1,0.1436,0.0436
"9","CB",0.25,0.2724,0.0224
"10","CB",0.75,0.6964,-0.0536
"11","CB",0.9,0.9356,0.0356
"12","CB",0.95,0.963599999999999,0.0136
"13","GR",0.05,0.0996,0.0496
"14","GR",0.1,0.1468,0.0468
"15","GR",0.25,0.2632,0.0132
"16","GR",0.75,0.6892,-0.0608
"17","GR",0.9,0.9404,0.0404
"18","GR",0.95,0.9668,0.0168
"19","ML",0.05,0.1484,0.0984
"20","ML",0.1,0.1976,0.0976
"21","ML",0.25,0.3216,0.0716
"22","ML",0.75,0.6632,-0.0868
"23","ML",0.9,0.904,0.004
"24","ML",0.95,0.9352,-0.0148
