"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,2e-04,0,0
"[-5.76,-5.52)",0,0,0,4e-04
"[-5.52,-5.28)",4e-04,2e-04,4e-04,2e-04
"[-5.28,-5.04)",0,0,0,6e-04
"[-5.04,-4.8)",0,2e-04,0,8e-04
"[-4.8,-4.56)",2e-04,2e-04,4e-04,2e-04
"[-4.56,-4.32)",0,2e-04,0,8e-04
"[-4.32,-4.08)",2e-04,6e-04,4e-04,0.0014
"[-4.08,-3.84)",2e-04,6e-04,4e-04,0.0018
"[-3.84,-3.6)",8e-04,0.0012,2e-04,0.0016
"[-3.6,-3.36)",2e-04,0.0016,8e-04,0.003
"[-3.36,-3.12)",0.0016,0.0024,0.0018,0.0042
"[-3.12,-2.88)",0.0012,0.0028,0.0024,0.0058
"[-2.88,-2.64)",0.0028,0.0032,0.0036,0.0084
"[-2.64,-2.4)",0.0034,0.003,0.006,0.0098
"[-2.4,-2.16)",0.0034,0.0064,0.0076,0.0136
"[-2.16,-1.92)",0.005,0.0086,0.0112,0.0186
"[-1.92,-1.68)",0.0098,0.0148,0.0152,0.0244
"[-1.68,-1.44)",0.014,0.0222,0.0212,0.022
"[-1.44,-1.2)",0.0238,0.0288,0.0306,0.0342
"[-1.2,-0.96)",0.0378,0.0426,0.0456,0.0472
"[-0.96,-0.72)",0.0552,0.0626,0.0626,0.0584
"[-0.72,-0.48)",0.0828,0.0788,0.0838,0.075
"[-0.48,-0.24)",0.1216,0.108,0.1024,0.0848
"[-0.24,0)",0.1464,0.1182,0.112,0.084
"[0,0.24)",0.132,0.1114,0.1052,0.09
"[0.24,0.48)",0.1112,0.0964,0.0922,0.0744
"[0.48,0.72)",0.0872,0.0862,0.081,0.0736
"[0.72,0.96)",0.06,0.0606,0.0676,0.0622
"[0.96,1.2)",0.0382,0.044,0.0486,0.0482
"[1.2,1.44)",0.022,0.0308,0.0314,0.0384
"[1.44,1.68)",0.015,0.0214,0.0222,0.0288
"[1.68,1.92)",0.008,0.0148,0.0156,0.0192
"[1.92,2.16)",0.003,0.0078,0.008,0.0132
"[2.16,2.4)",0.0026,0.004,0.0046,0.0128
"[2.4,2.64)",0.0028,0.0026,0.0048,0.0082
"[2.64,2.88)",0.002,0.0028,0.003,0.0048
"[2.88,3.12)",0.0018,0.0026,0.0022,0.007
"[3.12,3.36)",0.0012,0.0018,0.0014,0.0042
"[3.36,3.6)",6e-04,0.0016,0.0014,0.0036
"[3.6,3.84)",4e-04,0.001,8e-04,0.0024
"[3.84,4.08)",0,6e-04,2e-04,0.0018
"[4.08,4.32)",0,6e-04,0,4e-04
"[4.32,4.56)",2e-04,2e-04,2e-04,0.0012
"[4.56,4.8)",0,0,0,0.0016
"[4.8,5.04)",2e-04,0,2e-04,8e-04
"[5.04,5.28)",0,2e-04,0,2e-04
"[5.28,5.52)",2e-04,0,2e-04,2e-04
"[5.52,5.76)",2e-04,2e-04,2e-04,2e-04
"[5.76,6)",0,2e-04,0,2e-04
