"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,2e-04
"[-5.76,-5.52)",0,0,0,0
"[-5.52,-5.28)",0,0,0,0
"[-5.28,-5.04)",0,0,0,4e-04
"[-5.04,-4.8)",0,0,0,2e-04
"[-4.8,-4.56)",0,0,0,4e-04
"[-4.56,-4.32)",0,0,0,6e-04
"[-4.32,-4.08)",0,0,0,4e-04
"[-4.08,-3.84)",0,0,0,0.0012
"[-3.84,-3.6)",0,0,0,0.0016
"[-3.6,-3.36)",0,0,0,0.0012
"[-3.36,-3.12)",0,0,0,0.0022
"[-3.12,-2.88)",0,0,0,0.0026
"[-2.88,-2.64)",0,2e-04,6e-04,0.0046
"[-2.64,-2.4)",0,4e-04,0.001,0.0062
"[-2.4,-2.16)",4e-04,0.0028,0.005,0.0082
"[-2.16,-1.92)",0.002,0.0068,0.0098,0.016
"[-1.92,-1.68)",0.005,0.0132,0.0148,0.0236
"[-1.68,-1.44)",0.0124,0.025,0.0234,0.0308
"[-1.44,-1.2)",0.027,0.0404,0.041,0.0402
"[-1.2,-0.96)",0.0492,0.0594,0.0584,0.0606
"[-0.96,-0.72)",0.079,0.0818,0.0784,0.0782
"[-0.72,-0.48)",0.1128,0.0986,0.097,0.0916
"[-0.48,-0.24)",0.1304,0.1144,0.1044,0.0906
"[-0.24,0)",0.133,0.1106,0.1024,0.0948
"[0,0.24)",0.118,0.098,0.0922,0.0758
"[0.24,0.48)",0.0832,0.0772,0.0776,0.0578
"[0.48,0.72)",0.06,0.0562,0.0616,0.0464
"[0.72,0.96)",0.0428,0.0472,0.0484,0.039
"[0.96,1.2)",0.0326,0.0288,0.0424,0.0344
"[1.2,1.44)",0.0282,0.027,0.0358,0.0314
"[1.44,1.68)",0.0278,0.025,0.0296,0.0332
"[1.68,1.92)",0.0206,0.0234,0.024,0.0298
"[1.92,2.16)",0.0146,0.0208,0.0196,0.0232
"[2.16,2.4)",0.0108,0.0126,0.0136,0.0224
"[2.4,2.64)",0.0052,0.014,0.009,0.0154
"[2.64,2.88)",0.0032,0.007,0.0058,0.0112
"[2.88,3.12)",0.0018,0.0046,0.0036,0.007
"[3.12,3.36)",0,0.003,6e-04,0.0046
"[3.36,3.6)",0,0.0016,0,0.0036
"[3.6,3.84)",0,0,0,0.0038
"[3.84,4.08)",0,0,0,0.0022
"[4.08,4.32)",0,0,0,8e-04
"[4.32,4.56)",0,0,0,8e-04
"[4.56,4.8)",0,0,0,2e-04
"[4.8,5.04)",0,0,0,0
"[5.04,5.28)",0,0,0,2e-04
"[5.28,5.52)",0,0,0,2e-04
"[5.52,5.76)",0,0,0,0
"[5.76,6)",0,0,0,2e-04
